gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,Yes,No,No,29,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),101.45,2948.6,No
Female,No,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,Electronic check,84.3,1308.4,Yes
Male,No,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,No,Electronic check,95.5,3418.2,No
Female,Yes,No,No,18,Yes,No,DSL,No,Yes,No,No,No,No,Yes,Credit card (automatic),49.85,865.75,No
Male,No,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,Bank transfer (automatic),89.55,6373.1,No
Female,No,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,99.8,5985.75,No
Male,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Credit card (automatic),84.4,732.5,Yes
Male,No,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,101.1,1504.05,Yes
Male,No,Yes,No,12,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,74.15,741.4,No
Male,Yes,No,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,Electronic check,73.85,3122.4,No
Male,No,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Electronic check,50.45,50.45,Yes
Male,No,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.75,739.9,No
Male,No,Yes,No,9,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Mailed check,68.95,593.85,No
Male,No,No,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Mailed check,99.95,1132.75,Yes
Female,Yes,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),109.4,7227.45,No
Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,Electronic check,91.4,193.6,Yes
Male,No,No,No,27,Yes,Yes,DSL,No,No,No,No,No,No,No,Mailed check,49,1291.35,No
Female,Yes,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Credit card (automatic),75.55,349.65,Yes
Male,No,Yes,No,3,Yes,No,DSL,No,No,Yes,Yes,No,No,Yes,Mailed check,55.8,154.55,No
Male,No,No,No,20,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Mailed check,98.55,2031.95,No
Male,No,No,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Electronic check,50.05,50.05,No
Male,No,No,Yes,4,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,No,Credit card (automatic),80.8,332.45,Yes
Male,No,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,20.85,473.9,No
Female,Yes,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.5,106.8,No
Male,No,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.35,152.6,No
Male,No,No,No,18,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,No,Mailed check,69.5,1199.4,No
Male,Yes,No,No,52,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Yes,Credit card (automatic),48.8,2555.05,No
Male,No,No,No,31,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,94.5,2979.2,No
Male,No,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,20.65,654.85,No
Female,No,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,100,1534.75,Yes
Male,No,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Electronic check,85.3,424.15,Yes
Male,No,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,No,Credit card (automatic),95.9,2234.95,No
Female,No,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,No,Electronic check,70.4,281,Yes
Male,No,No,No,9,Yes,No,DSL,Yes,No,No,Yes,No,Yes,No,Mailed check,64.95,547.8,No
Male,No,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,No,Credit card (automatic),74.6,74.6,No
Male,No,Yes,Yes,12,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Electronic check,49.2,571.15,No
Male,No,No,No,37,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,No,Bank transfer (automatic),98.8,3475.55,Yes
Female,No,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.2,156.85,No
